Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
171,0.219767442,0.144186047,0.043023256,0.023255814,0.143023256,0.114651163
172,0.223121387,0.142196532,0.042774566,0.023121387,0.142196532,0.114682081
173,0.220689655,0.14137931,0.042528736,0.022988506,0.145977011,0.114712644
174,0.224,0.139428571,0.042285714,0.022857143,0.145142857,0.114742857
175,0.221590909,0.138636364,0.042045455,0.022727273,0.144318182,0.113863636
176,0.224858757,0.142372881,0.04180791,0.02259887,0.148022599,0.115932203
177,0.228089888,0.141573034,0.041573034,0.02247191,0.146067416,0.115955056
178,0.225698324,0.139664804,0.041340782,0.022346369,0.144134078,0.114636872
179,0.228888889,0.138888889,0.041111111,0.022222222,0.143333333,0.114888889
180,0.226519337,0.142541436,0.040883978,0.022099448,0.141436464,0.114696133
181,0.224175824,0.141758242,0.040659341,0.021978022,0.140659341,0.113846154
182,0.221857923,0.13989071,0.040437158,0.021857923,0.13989071,0.112786885
183,0.225,0.139130435,0.040217391,0.02173913,0.139130435,0.113043478
184,0.228108108,0.142702703,0.04,0.021621622,0.138378378,0.114162162
185,0.225806452,0.141935484,0.039784946,0.021505376,0.137634409,0.113333333
186,0.228877005,0.145454545,0.039572193,0.021390374,0.136898396,0.114438503
187,0.231914894,0.144680851,0.039361702,0.021276596,0.136170213,0.114680851
188,0.22962963,0.142857143,0.039153439,0.021164021,0.135449735,0.113650794
189,0.232631579,0.142105263,0.038947368,0.021052632,0.138947368,0.114736842
190,0.230366492,0.145549738,0.038743455,0.020942408,0.138219895,0.114764398
191,0.233333333,0.144791667,0.038541667,0.020833333,0.1375,0.115
192,0.231088083,0.143005181,0.038341969,0.020725389,0.136787565,0.113989637
193,0.234020619,0.142268041,0.03814433,0.020618557,0.140206186,0.115051546
194,0.236923077,0.145641026,0.037948718,0.020512821,0.139487179,0.116102564
195,0.234693878,0.144897959,0.037755102,0.020408163,0.137755102,0.115102041
196,0.237563452,0.143147208,0.037563452,0.020304569,0.137055838,0.115126904
197,0.24040404,0.142424242,0.037373737,0.02020202,0.136363636,0.115353535
198,0.24321608,0.145728643,0.03718593,0.020100503,0.135678392,0.11638191
199,0.241,0.145,0.037,0.02,0.135,0.1156
200,0.23880597,0.143283582,0.03681592,0.019900498,0.133333333,0.114427861
201,0.241584158,0.142574257,0.036633663,0.01980198,0.131683168,0.114455446
202,0.239408867,0.145812808,0.036453202,0.02364532,0.131034483,0.115270936
203,0.237254902,0.145098039,0.03627451,0.023529412,0.130392157,0.114509804
204,0.235121951,0.148292683,0.036097561,0.023414634,0.133658537,0.115317073
205,0.233009709,0.147572816,0.03592233,0.023300971,0.133009709,0.114563107
206,0.235748792,0.150724638,0.035748792,0.023188406,0.13236715,0.115555556
207,0.238461538,0.15,0.035576923,0.023076923,0.130769231,0.115576923
208,0.241148325,0.148325359,0.035406699,0.022966507,0.130143541,0.115598086
209,0.239047619,0.147619048,0.035238095,0.022857143,0.12952381,0.114857143
210,0.236966825,0.1507109,0.03507109,0.022748815,0.128909953,0.114881517
211,0.239622642,0.15,0.03490566,0.022641509,0.132075472,0.115849057
212,0.237558685,0.153051643,0.034741784,0.02629108,0.131455399,0.116619718
213,0.240186916,0.152336449,0.034579439,0.026168224,0.130841121,0.11682243
214,0.238139535,0.155348837,0.034418605,0.026046512,0.130232558,0.116837209
215,0.236111111,0.15462963,0.034259259,0.025925926,0.12962963,0.116111111
216,0.234101382,0.152995392,0.034101382,0.025806452,0.129032258,0.115207373
217,0.236697248,0.152293578,0.033944954,0.025688073,0.128440367,0.115412844
218,0.234703196,0.155251142,0.033789954,0.025570776,0.127853881,0.11543379
219,0.232727273,0.154545455,0.033636364,0.025454545,0.127272727,0.114727273
220,0.235294118,0.152941176,0.033484163,0.025339367,0.126696833,0.114751131
221,0.237837838,0.152252252,0.033333333,0.025225225,0.126126126,0.114954955
222,0.235874439,0.155156951,0.033183857,0.025112108,0.125560538,0.114977578
223,0.233928571,0.154464286,0.033035714,0.025,0.124107143,0.114107143
224,0.236444444,0.157333333,0.032888889,0.024888889,0.127111111,0.115733333
225,0.234513274,0.156637168,0.032743363,0.024778761,0.126548673,0.115044248
226,0.232599119,0.159471366,0.032599119,0.024669604,0.125991189,0.115066079
227,0.230701754,0.15877193,0.03245614,0.024561404,0.125438596,0.114385965
228,0.233187773,0.161572052,0.03231441,0.024454148,0.128384279,0.115982533
229,0.235652174,0.160869565,0.032173913,0.024347826,0.127826087,0.116173913
230,0.233766234,0.159307359,0.032034632,0.024242424,0.127272727,0.115324675
231,0.236206897,0.15862069,0.031896552,0.024137931,0.126724138,0.115517241
232,0.234334764,0.157081545,0.031759657,0.024034335,0.126180258,0.114678112
233,0.232478632,0.156410256,0.031623932,0.023931624,0.125641026,0.114017094
234,0.230638298,0.159148936,0.031489362,0.023829787,0.125106383,0.114042553
235,0.228813559,0.158474576,0.031355932,0.023728814,0.124576271,0.113389831
236,0.231223629,0.156962025,0.031223629,0.023628692,0.124050633,0.113417722
237,0.229411765,0.156302521,0.031092437,0.026890756,0.123529412,0.113445378
238,0.231799163,0.154811715,0.030962343,0.026778243,0.123012552,0.113472803
239,0.234166667,0.154166667,0.030833333,0.026666667,0.121666667,0.1135
240,0.232365145,0.156846473,0.030705394,0.026556017,0.124481328,0.114190871
