Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
296,0.006734007,0,0.161616162,0.101010101,0.235690236,0.101010101
297,0.006711409,0,0.161073826,0.100671141,0.234899329,0.100671141
298,0.006688963,0,0.160535117,0.107023411,0.234113712,0.101672241
299,0.006666667,0,0.16,0.106666667,0.233333333,0.101333333
300,0.006644518,0,0.159468439,0.106312292,0.23255814,0.100996678
301,0.006622517,0,0.158940397,0.105960265,0.231788079,0.100662252
302,0.00660066,0,0.158415842,0.105610561,0.231023102,0.100330033
303,0.006578947,0,0.157894737,0.105263158,0.230263158,0.1
304,0.006557377,0,0.157377049,0.104918033,0.229508197,0.099672131
305,0.006535948,0,0.156862745,0.104575163,0.22875817,0.099346405
306,0.006514658,0,0.156351792,0.110749186,0.228013029,0.100325733
307,0.006493506,0,0.155844156,0.11038961,0.227272727,0.1
308,0.006472492,0,0.155339806,0.110032362,0.226537217,0.099676375
309,0.006451613,0,0.15483871,0.109677419,0.225806452,0.099354839
310,0.006430868,0,0.154340836,0.109324759,0.225080386,0.09903537
311,0.006410256,0,0.153846154,0.108974359,0.224358974,0.098717949
312,0.006389776,0,0.153354633,0.108626198,0.223642173,0.098402556
313,0.006369427,0,0.152866242,0.108280255,0.222929936,0.098089172
314,0.006349206,0,0.152380952,0.107936508,0.222222222,0.097777778
315,0.006329114,0,0.151898734,0.107594937,0.221518987,0.097468354
316,0.006309148,0,0.151419558,0.107255521,0.220820189,0.097160883
317,0.006289308,0,0.150943396,0.106918239,0.220125786,0.096855346
318,0.006269592,0,0.150470219,0.106583072,0.219435737,0.096551724
319,0.00625,0,0.15,0.10625,0.21875,0.09625
320,0.00623053,0,0.14953271,0.105919003,0.218068536,0.095950156
321,0.00621118,0,0.149068323,0.105590062,0.217391304,0.095652174
322,0.00619195,0,0.148606811,0.105263158,0.216718266,0.095356037
323,0.00617284,0,0.148148148,0.104938272,0.216049383,0.095061728
324,0.006153846,0,0.147692308,0.104615385,0.215384615,0.094769231
325,0.006134969,0,0.147239264,0.104294479,0.214723926,0.094478528
326,0.006116208,0,0.146788991,0.110091743,0.214067278,0.095412844
327,0.006097561,0,0.146341463,0.109756098,0.213414634,0.095121951
328,0.006079027,0,0.145896657,0.109422492,0.212765957,0.094832827
329,0.006060606,0,0.145454545,0.109090909,0.212121212,0.094545455
330,0.006042296,0,0.145015106,0.108761329,0.211480363,0.094259819
331,0.006024096,0,0.144578313,0.108433735,0.210843373,0.093975904
332,0.006006006,0,0.144144144,0.108108108,0.21021021,0.093693694
333,0.005988024,0,0.143712575,0.107784431,0.209580838,0.093413174
334,0.005970149,0,0.143283582,0.107462687,0.208955224,0.093134328
335,0.005952381,0,0.142857143,0.107142857,0.208333333,0.092857143
336,0.005934718,0,0.142433234,0.106824926,0.207715134,0.092581602
337,0.00591716,0,0.142011834,0.106508876,0.207100592,0.092307692
338,0.005899705,0,0.14159292,0.10619469,0.206489676,0.092035398
339,0.005882353,0,0.141176471,0.105882353,0.205882353,0.091764706
340,0.005865103,0,0.140762463,0.105571848,0.205278592,0.091495601
341,0.005847953,0,0.140350877,0.105263158,0.204678363,0.09122807
342,0.005830904,0,0.139941691,0.104956268,0.209912536,0.09212828
343,0.005813953,0,0.139534884,0.104651163,0.209302326,0.091860465
344,0.005797101,0,0.139130435,0.104347826,0.208695652,0.091594203
345,0.005780347,0,0.138728324,0.104046243,0.208092486,0.09132948
346,0.005763689,0,0.13832853,0.103746398,0.207492795,0.091066282
347,0.005747126,0,0.137931034,0.103448276,0.206896552,0.090804598
348,0.005730659,0,0.137535817,0.103151862,0.206303725,0.090544413
349,0.005714286,0,0.137142857,0.102857143,0.205714286,0.090285714
350,0.005698006,0,0.136752137,0.102564103,0.205128205,0.09002849
351,0.005681818,0,0.136363636,0.102272727,0.204545455,0.089772727
352,0.005665722,0,0.135977337,0.101983003,0.203966006,0.089518414
353,0.005649718,0,0.13559322,0.101694915,0.203389831,0.089265537
354,0.005633803,0,0.135211268,0.101408451,0.202816901,0.089014085
355,0.005617978,0,0.134831461,0.101123596,0.202247191,0.088764045
356,0.005602241,0,0.134453782,0.100840336,0.201680672,0.088515406
357,0.005586592,0,0.134078212,0.100558659,0.201117318,0.088268156
358,0.005571031,0,0.133704735,0.100278552,0.200557103,0.088022284
359,0.005555556,0,0.133333333,0.1,0.2,0.087777778
