Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
258,1.194904025,4.096245188,0.83702201,0.558745704,1.637849116,1.664953209
259,1.193465981,4.080060217,0.832191725,0.556963556,1.63144852,1.658826
260,1.203140653,4.08308279,0.827674014,0.554735982,1.62653256,1.6590332
261,1.200266202,4.085644215,0.82379758,0.552805181,1.622031552,1.656908946
262,1.202820597,4.093410188,0.821536774,0.550039051,1.617207184,1.657002759
263,1.198580285,4.10456987,0.818639598,0.546608368,1.610004187,1.655680462
264,1.203688385,4.117468286,0.81554598,0.544111976,1.60399227,1.656961379
265,1.197898921,4.115631207,0.812917391,0.54169373,1.601114594,1.653851168
266,1.201970184,4.118089671,0.809104426,0.540735139,1.595306207,1.653041126
267,1.197397072,4.129300473,0.8062235,0.539045685,1.58913525,1.652220396
268,1.200414513,4.132005583,0.802667348,0.537398551,1.597577319,1.654012663
269,1.20024125,4.123736788,0.79972093,0.535169399,1.591265925,1.650026859
270,1.198259893,4.123010296,0.796910818,0.533116744,1.584768052,1.647213161
271,1.201116492,4.124816086,0.794399147,0.531487748,1.580277492,1.646419393
272,1.201212517,4.131724325,0.79174869,0.529577396,1.57498379,1.645849344
273,1.205922237,4.138264211,0.788664264,0.526787432,1.570116647,1.645950958
274,1.205463607,4.157239951,0.784719323,0.524787944,1.562692551,1.646980675
275,1.20341249,4.160135728,0.781005077,0.522972448,1.560854546,1.645676058
276,1.200538922,4.164948099,0.777578029,0.520236449,1.551806086,1.643021517
277,1.200243846,4.169910696,0.775427052,0.518086424,1.545940425,1.641921689
278,1.20684051,4.172836742,0.77198419,0.51626193,1.54162048,1.64190877
279,1.213883994,4.146037057,0.770154371,0.513898915,1.538032836,1.636401435
280,1.216398714,4.153299506,0.767508835,0.525347405,1.533025466,1.639115985
281,1.219205323,4.157623864,0.765587012,0.523705337,1.524574364,1.63813918
282,1.219529327,4.160720645,0.763016231,0.52216176,1.519335093,1.636952611
283,1.221124992,4.170042588,0.759317662,0.538774489,1.515686592,1.640989265
284,1.217317708,4.175433357,0.756381116,0.53697229,1.510067904,1.639234475
285,1.216872518,4.183486558,0.753290933,0.534955509,1.505715534,1.63886421
286,1.221349289,4.181199459,0.749998089,0.532903887,1.499501073,1.636990359
287,1.221695953,4.181945796,0.747480326,0.529808184,1.493137264,1.634813505
288,1.221690256,4.185090977,0.74472169,0.52776404,1.487016009,1.633256594
289,1.218828731,4.162931093,0.741307334,0.525850296,1.482257614,1.626235014
290,1.215629682,4.166721792,0.739249246,0.524504905,1.474924654,1.624206056
291,1.218814696,4.171121995,0.7370095,0.522689378,1.487236006,1.627374315
292,1.220892062,4.169540097,0.734138051,0.521150772,1.480161946,1.625176586
293,1.223563746,4.172354546,0.732464852,0.519243002,1.470767061,1.623678641
294,1.228062981,4.153734039,0.730486075,0.517448669,1.468491148,1.619644582
295,1.221593461,4.157292121,0.728300299,0.515450815,1.463907017,1.617308743
296,1.219610837,4.159956407,0.726258745,0.513624075,1.457999035,1.61548982
297,1.216400984,4.164005316,0.724566505,0.511864636,1.450521391,1.613471766
298,1.21277352,4.166281758,0.723118133,0.524558802,1.443280594,1.614002561
299,1.215236375,4.147328616,0.720873789,0.522777644,1.438384742,1.608920233
